KSHF17226;seskok;230;2670;754
QYMY3299;arytmoložka;71;1333;501
WTWW15689;kursor;38;2750;649
OQAO8270;hormon;237;3598;741
SXYT2248;tmel;200;240;819
GPCO21609;terabajt;150;4044;451
GOHW193;dekarboxylace;101;664;114
SNPI18759;dimethylsulfid;198;3298;962
CXNR20404;vasectomie;140;508;747
PBLF3088;spirocheta;41;2410;207
SMPO8840;pravička;278;1796;402
WDHG7100;plechárna;231;3125;628
PFVT17360;hermelín;108;4198;318
VVCV8731;antropopatologie;52;4389;867
UVFO2904;megalit;154;4635;960
GIYT10326;ochutnavačka;186;3952;474
XBFH12218;Aldebaran;264;384;95
GMBD8066;silikon;177;524;404
RAXE6132;šmelinářka;148;1465;212
NUXU22248;dokumentace;9;265;377
RDUQ22883;kapavka;208;1747;580
CRCI8099;pas;142;4918;213
KLNS15895;bacil;182;2654;360
YGXC2276;záclona;246;3762;54
BGAN8229;myriáda;206;352;509
INDM13705;determinace;263;2000;749
JNPN2014;vyhlídka;199;4422;473
HKPM15304;lžička;191;863;362
EMXA21967;dualita;245;1822;652
HEIX9544;chmel;7;2877;267
BWOG3901;větosled;41;205;289
VUQF12715;licous;243;788;441
BKEB21409;štěrbinka;174;2179;786
DLJC2285;luvijština;181;4527;548
SYCK11997;anakonda;274;1011;1
DLDW14671;prohoz;164;351;562
MMUD20322;nárys;298;4907;605
HFJJ14896;stahovačka;102;505;872
FHDE5408;mikroampér;132;2763;121
MCOI12484;nadhmat;240;1490;204
LLXN20608;dlažba;214;1812;77
PQXU19827;přezkum;212;4113;221
KIME22568;síran;298;3250;539
RGCT9480;nažka;164;4702;926
ISJJ13403;meioza;29;843;107
ANXD14216;biom;26;2462;104
JPAS8642;tramvajačka;232;1744;866
RYDW18398;olejometr;104;3991;815
UMPN5433;trhák;171;3026;387
LBBA17206;mlátička;163;3964;593
LPSR6453;inhibitor;184;1910;453
STXJ10154;Dobrudža;90;1403;284
OWJW17014;ribóza;39;4096;958
QBQX18483;přeslička;167;2197;797
PKLN167;skleník;283;1035;415
JGCS4491;ponton;2;825;741
HFAY1672;báze;220;2052;430
AMMY10012;mokasín;168;4029;665
FWSX7594;paběrka;2;4791;705
QFHJ3062;modřinka;56;3855;176
OXVW8411;Nela;121;515;547
ROCB2548;efektivita;19;4758;464
RFQN13110;voděnka;27;1650;783
JQAI8877;pakt;287;2505;760
BGJU22135;antifašistka;40;4050;341
WQSN4455;čtvrtka;194;2374;579
IDTE8130;červenka;32;3188;978
YKSQ6626;souvěrkyně;24;628;565
FGIG13323;agonie;262;4993;173
JWCM7977;juristka;120;2001;57
ENEM6847;zásobárna;32;2036;875
CKIM7627;flok;39;4919;683
EHVU19858;diference;269;1440;505
HDFI10705;zeměpis;271;3396;465
IHAR1470;odinstalace;123;3334;343
YYND7626;eufonie;120;1452;565
IIJM2352;chám;160;3574;376
AOCW10924;povahopis;198;2310;148
BVYF9145;distributivita;136;4912;16
XHQV5713;klávesnice;115;4015;124
GCGU15759;měna;142;2402;259
AJFG18840;anakolut;265;2099;940
VCAP434;píštěl;82;1214;336
VHDR16477;ekvivalent;286;699;583
AKEC1371;navigátorka;285;1880;46
TOBL17883;uzávěra;217;3757;748
XREB18122;transpersonalistka;124;4182;305
AXSB16919;Sparťanka;41;3738;443
CBHH16050;renegociace;233;4738;45
WUWY11708;osteoporóza;83;3749;387
WOSB2697;habaďůra;179;1593;125
KPOB13203;flavonoid;290;1300;813
JLKP4011;šňůrka;169;2063;142
RMAR6862;textařka;216;576;527
HGBF15403;rekurs;67;1809;605
VGVP11427;strava;162;4684;309
JHCV22249;hrom;298;4032;420
PNHP11395;izotopie;122;907;896
RMKK16641;zakrývka;198;4719;93
NOBP18311;nektarínka;257;1609;921
GTIE523;pop;90;3292;451
HMIT18992;fůra;118;2632;366
RCXU13544;mysofilie;27;2185;731
JBLW1862;Bangladéšanka;295;3681;671
UAOR20259;aluminosilikát;187;2800;856
WRGN2196;volitelka;260;1216;595
FLCL18273;žleb;260;4251;568
OVFJ10837;dendrochronologie;104;3505;415
AKLF19213;remake;8;4861;612
LBEW19113;tulačka;202;4150;190
IXKJ13663;sešup;89;1803;291
OSNY22024;Ligna;51;1482;573
QUTB7443;podnož;78;3880;735
